car_name,model,date,odometer,miles,gallons,price
2011 Nissan Quest 3.5SL,Nissan Quest,2013-09-02,22643,261,12.9,3.2
2011 Nissan Quest 3.5SL,Nissan Quest,2013-09-08,22910,267,13.05,3.18
2011 Nissan Quest 3.5SL,Nissan Quest,2013-09-26,23248,338,17.68,3.049
2011 Nissan Quest 3.5SL,Nissan Quest,2013-10-18,23599,351,18.36,2.96
2011 Nissan Quest 3.5SL,Nissan Quest,2013-11-01,23949,350,17.98,3.21
2011 Nissan Quest 3.5SL,Nissan Quest,2013-11-11,24232,283,14.26,2.94
2011 Nissan Quest 3.5SL,Nissan Quest,2013-11-20,24598,366,18.2,2.94
2011 Nissan Quest 3.5SL,Nissan Quest,2013-12-07,24893,295,14.75,3.02
2011 Nissan Quest 3.5SL,Nissan Quest,2013-12-15,25116,223,12.71,2.94
2011 Nissan Quest 3.5SL,Nissan Quest,2013-12-21,25257,141,7.64,2.97
2011 Nissan Quest 3.5SL,Nissan Quest,2013-12-27,25581,324,15.9,3
2011 Nissan Quest 3.5SL,Nissan Quest,2014-01-17,25928,347,19.19,2.99
2011 Nissan Quest 3.5SL,Nissan Quest,2014-01-19,26310,382,17.23,3
2011 Nissan Quest 3.5SL,Nissan Quest,2014-02-02,26589,279,15.23,2.939
2011 Nissan Quest 3.5SL,Nissan Quest,2014-02-15,26768,179,9.63,2.969
2011 Nissan Quest 3.5SL,Nissan Quest,2014-03-02,27044,276,14.75,3.049
2011 Nissan Quest 3.5SL,Nissan Quest,2014-03-14,27398,354,17.92,3.109
2011 Nissan Quest 3.5SL,Nissan Quest,2014-03-26,27727,329,15.94,3.159
2011 Nissan Quest 3.5SL,Nissan Quest,2014-04-05,27969,242,12.91,3.289
2011 Nissan Quest 3.5SL,Nissan Quest,2014-04-13,28188,219,10.89,3.32
2011 Nissan Quest 3.5SL,Nissan Quest,2014-04-19,28467,279,13.89,3.359
2011 Nissan Quest 3.5SL,Nissan Quest,2014-04-25,28688,221,11.37,3.359
2011 Nissan Quest 3.5SL,Nissan Quest,2014-04-26,28997,309,13.54,3.419
2011 Nissan Quest 3.5SL,Nissan Quest,2014-05-02,29324,327,16.79,3.359
2011 Nissan Quest 3.5SL,Nissan Quest,2014-05-04,29544,220,9.43,3.359
2011 Nissan Quest 3.5SL,Nissan Quest,2014-05-09,29816,272,14.45,3.359
2011 Nissan Quest 3.5SL,Nissan Quest,2014-05-13,30208,392,17.49,3.339
2011 Nissan Quest 3.5SL,Nissan Quest,2014-05-22,30547,339,17.2,3.359
2011 Nissan Quest 3.5SL,Nissan Quest,2014-06-01,30802,255,13.09,3.329
2011 Nissan Quest 3.5SL,Nissan Quest,2014-06-14,31067,265,14.08,3.329
2011 Nissan Quest 3.5SL,Nissan Quest,2014-06-21,31215,148,8.42,3.279
2011 Nissan Quest 3.5SL,Nissan Quest,2014-07-03,31567,352,17.07,3.249
2011 Nissan Quest 3.5SL,Nissan Quest,2014-07-12,31796,229,12.56,3.229
2011 Nissan Quest 3.5SL,Nissan Quest,2014-07-20,32001,205,11.09,3.199
2011 Nissan Quest 3.5SL,Nissan Quest,2014-07-27,32143,142,7.27,3.189
2011 Nissan Quest 3.5SL,Nissan Quest,2014-08-02,32431,288,13.23,3.059
2011 Nissan Quest 3.5SL,Nissan Quest,2014-08-14,32735,304,15.44,2.999
2011 Nissan Quest 3.5SL,Nissan Quest,2014-08-23,33044,309,16.33,3.039
2011 Nissan Quest 3.5SL,Nissan Quest,2014-08-24,33325,281,13.17,3.039
2011 Nissan Quest 3.5SL,Nissan Quest,2014-09-02,33596,271,15.31,2.989
2011 Nissan Quest 3.5SL,Nissan Quest,2014-09-10,33942,346,16.99,3.099
2011 Nissan Quest 3.5SL,Nissan Quest,2014-09-18,34289,347,18.44,2.999
2011 Nissan Quest 3.5SL,Nissan Quest,2014-09-27,34642,353,16.4,2.979
2011 Nissan Quest 3.5SL,Nissan Quest,2014-10-05,34927,285,14.25,2.899
2011 Nissan Quest 3.5SL,Nissan Quest,2014-10-12,35211,284,15.06,2.749
2011 Nissan Quest 3.5SL,Nissan Quest,2014-10-19,35459,248,12.424,2.599
2011 Nissan Quest 3.5SL,Nissan Quest,2014-10-28,35763,304,15.73,2.679
2011 Nissan Quest 3.5SL,Nissan Quest,2014-11-05,36114,351,16.72,2.599
2011 Nissan Quest 3.5SL,Nissan Quest,2014-11-09,36342,228,11.38,2.479
2011 Nissan Quest 3.5SL,Nissan Quest,2014-11-25,36675,333,17.73,2.499
2011 Nissan Quest 3.5SL,Nissan Quest,2014-12-06,37016,341,16.14,2.209
2011 Nissan Quest 3.5SL,Nissan Quest,2014-12-13,37277,261,13.51,2.159
2011 Nissan Quest 3.5SL,Nissan Quest,2014-12-19,37543,266,13.87,2.099
2011 Nissan Quest 3.5SL,Nissan Quest,2014-12-26,38086,543,25.91,1.799
2011 Nissan Quest 3.5SL,Nissan Quest,2014-12-31,38407,321,15.36,2.199
2011 Nissan Quest 3.5SL,Nissan Quest,2015-01-08,38758,351,17.34,1.859
2011 Nissan Quest 3.5SL,Nissan Quest,2015-01-17,39050,292,14.6,1.701
2011 Nissan Quest 3.5SL,Nissan Quest,2015-01-25,39299,249,12,1.699
2011 Nissan Quest 3.5SL,Nissan Quest,2015-02-11,39631,332,17.5,1.949
2011 Nissan Quest 3.5SL,Nissan Quest,2015-03-07,39944,313,16.7,1.999
2011 Nissan Quest 3.5SL,Nissan Quest,2015-03-20,40189,245,13.12,1.999
2011 Nissan Quest 3.5SL,Nissan Quest,2015-03-22,40485,296,12.25,1.999
2011 Nissan Quest 3.5SL,Nissan Quest,2015-04-04,40721,236,12.05,2.069
2011 Nissan Quest 3.5SL,Nissan Quest,2015-04-22,41074,353,16.94,2.189
2011 Nissan Quest 3.5SL,Nissan Quest,2015-05-03,41294,220,11.34,2.199
2011 Nissan Quest 3.5SL,Nissan Quest,2015-05-08,41405,111,6.28,2.259
2011 Nissan Quest 3.5SL,Nissan Quest,2015-05-10,41739,334,14.41,2.259
2011 Nissan Quest 3.5SL,Nissan Quest,2015-05-25,42063,324,17.5,2.239
2011 Nissan Quest 3.5SL,Nissan Quest,2015-05-31,42313,250,12.99,2.289
2011 Nissan Quest 3.5SL,Nissan Quest,2015-06-04,42627,314,14.66,2.459
2011 Nissan Quest 3.5SL,Nissan Quest,2015-06-06,42929,302,13.62,2.319
2011 Nissan Quest 3.5SL,Nissan Quest,2015-06-13,43175,246,12.92,2.299
2011 Nissan Quest 3.5SL,Nissan Quest,2015-06-20,43443,268,13.43,2.299
2011 Nissan Quest 3.5SL,Nissan Quest,2015-07-12,43606,163,9.89,2.239
2011 Nissan Quest 3.5SL,Nissan Quest,2015-07-27,43937,331,16.17,2.229
2011 Nissan Quest 3.5SL,Nissan Quest,2015-08-09,44086,149,8.55,2.179
2011 Nissan Quest 3.5SL,Nissan Quest,2015-08-15,44398,312,14.76,2.099
2011 Nissan Quest 3.5SL,Nissan Quest,2015-08-23,44674,276,14.09,2.019
2011 Nissan Quest 3.5SL,Nissan Quest,2015-08-30,44924,250,12.34,1.959
2011 Nissan Quest 3.5SL,Nissan Quest,2015-09-18,45254,330,16.7,1.839
2011 Nissan Quest 3.5SL,Nissan Quest,2015-09-26,45507,253,11.73,1.749
2011 Nissan Quest 3.5SL,Nissan Quest,2015-10-10,45857,350,17.25,1.799
2011 Nissan Quest 3.5SL,Nissan Quest,2015-10-17,46121,264,12.36,1.859
2011 Nissan Quest 3.5SL,Nissan Quest,2015-11-01,46493,372,17.48,1.699
2011 Nissan Quest 3.5SL,Nissan Quest,2015-11-14,46802,309,15.4,1.819
2011 Nissan Quest 3.5SL,Nissan Quest,2015-11-15,47117,315,12.99,1.819
2011 Nissan Quest 3.5SL,Nissan Quest,2015-12-03,47432,315,15.92,1.629
2011 Nissan Quest 3.5SL,Nissan Quest,2015-12-16,47787,355,16.97,1.759
2011 Nissan Quest 3.5SL,Nissan Quest,2015-12-26,48090,303,14.31,1.699
2011 Nissan Quest 3.5SL,Nissan Quest,2016-01-09,48383,293,15.41,1.549
2011 Nissan Quest 3.5SL,Nissan Quest,2016-01-16,48573,190,9.6,1.499
2011 Nissan Quest 3.5SL,Nissan Quest,2016-01-29,48870,297,15,1.589
2011 Nissan Quest 3.5SL,Nissan Quest,2016-02-14,49108,238,12.33,1.299
2011 Nissan Quest 3.5SL,Nissan Quest,2016-03-02,49380,272,13.6,1.399
2011 Nissan Quest 3.5SL,Nissan Quest,2016-03-13,49635,255,12.7,1.559
2011 Nissan Quest 3.5SL,Nissan Quest,2016-03-25,49967,332,16.17,1.859
2011 Nissan Quest 3.5SL,Nissan Quest,2016-04-10,50215,248,12.34,1.799
2011 Nissan Quest 3.5SL,Nissan Quest,2016-04-17,50475,260,12.25,1.889
2011 Nissan Quest 3.5SL,Nissan Quest,2016-04-30,50724,249,12.33,1.979
2011 Nissan Quest 3.5SL,Nissan Quest,2016-05-12,51059,335,16.75,1.929
2011 Nissan Quest 3.5SL,Nissan Quest,2016-05-25,51389,330,15.8,1.859
2011 Nissan Quest 3.5SL,Nissan Quest,2016-05-29,51679,290,13.75,1.859
2011 Nissan Quest 3.5SL,Nissan Quest,2016-06-05,51921,242,12.13,1.899
2011 Nissan Quest 3.5SL,Nissan Quest,2016-06-06,52273,352,16.23,2.199
2011 Nissan Quest 3.5SL,Nissan Quest,2016-06-10,52540,267,13.51,2.199
2011 Nissan Quest 3.5SL,Nissan Quest,2016-06-12,52787,247,12.96,1.859
2011 Nissan Quest 3.5SL,Nissan Quest,2016-06-18,53073,286,15.21,2.279
2011 Nissan Quest 3.5SL,Nissan Quest,2016-06-24,53358,285,14.14,1.989
2011 Nissan Quest 3.5SL,Nissan Quest,2016-07-10,53624,266,14.49,1.859
2011 Nissan Quest 3.5SL,Nissan Quest,2016-08-07,53917,293,15.69,1.739
2011 Nissan Quest 3.5SL,Nissan Quest,2016-08-28,54237,320,17.08,1.799
2011 Nissan Quest 3.5SL,Nissan Quest,2016-09-11,54479,242,13.18,1.699
2011 Nissan Quest 3.5SL,Nissan Quest,2016-09-16,54622,143,8.07,2.099
2011 Nissan Quest 3.5SL,Nissan Quest,2016-10-15,54951,329,16.75,1.899
2011 Nissan Quest 3.5SL,Nissan Quest,2016-10-23,55167,216,10.87,1.899
2011 Nissan Quest 3.5SL,Nissan Quest,2016-10-30,55373,206,10.17,1.879
2011 Nissan Quest 3.5SL,Nissan Quest,2016-11-19,55718,345,17.59,1.799
2011 Nissan Quest 3.5SL,Nissan Quest,2016-12-03,55981,263,13.47,1.799
2011 Nissan Quest 3.5SL,Nissan Quest,2016-12-18,56212,231,12.44,1.979
2011 Nissan Quest 3.5SL,Nissan Quest,2017-01-06,56498,286,14.96,2.159
2011 Nissan Quest 3.5SL,Nissan Quest,2017-01-22,56751,253,12.86,1.959
2011 Nissan Quest 3.5SL,Nissan Quest,2017-02-04,57062,311,15.91,1.899
2011 Nissan Quest 3.5SL,Nissan Quest,2017-02-18,57335,273,14.91,1.909
2011 Nissan Quest 3.5SL,Nissan Quest,2017-03-05,57670,335,15.51,1.999
2011 Nissan Quest 3.5SL,Nissan Quest,2017-03-12,57905,235,11.55,1.919
2011 Nissan Quest 3.5SL,Nissan Quest,2017-03-25,58219,314,16.19,1.869
2011 Nissan Quest 3.5SL,Nissan Quest,2017-04-04,58482,263,13.09,1.999
2011 Nissan Quest 3.5SL,Nissan Quest,2017-04-20,58831,349,17.01,1.999
2011 Nissan Quest 3.5SL,Nissan Quest,2017-05-11,59149,318,16.87,1.939
2011 Nissan Quest 3.5SL,Nissan Quest,2017-05-20,59295,146,7.79,1.999
2011 Nissan Quest 3.5SL,Nissan Quest,2017-05-27,59625,330,16.95,1.949
2011 Nissan Quest 3.5SL,Nissan Quest,2017-06-01,59999,374,17.52,1.949
2011 Nissan Quest 3.5SL,Nissan Quest,2017-06-04,60368,369,16.89,1.939
2011 Nissan Quest 3.5SL,Nissan Quest,2017-06-10,60732,364,16.38,2.129
2011 Nissan Quest 3.5SL,Nissan Quest,2017-06-11,61010,278,13.06,1.859
2011 Nissan Quest 3.5SL,Nissan Quest,2017-06-16,61125,115,6.65,1.899
2011 Nissan Quest 3.5SL,Nissan Quest,2017-06-18,61424,299,13.07,1.849
2011 Nissan Quest 3.5SL,Nissan Quest,2017-07-02,61757,333,16.94,1.759
2011 Nissan Quest 3.5SL,Nissan Quest,2017-07-16,62032,275,13.91,1.789
2011 Nissan Quest 3.5SL,Nissan Quest,2017-07-30,62320,288,14.14,1.959
2011 Nissan Quest 3.5SL,Nissan Quest,2017-08-15,62601,281,14.12,1.959
2011 Nissan Quest 3.5SL,Nissan Quest,2017-08-26,62751,150,8.43,1.939
2011 Nissan Quest 3.5SL,Nissan Quest,2017-09-08,62929,178,9.04,2.499
2011 Nissan Quest 3.5SL,Nissan Quest,2017-09-23,63170,241,13.08,2.259
2011 Nissan Quest 3.5SL,Nissan Quest,2017-10-07,63448,278,15,2.099
2011 Nissan Quest 3.5SL,Nissan Quest,2017-10-21,63726,278,14.34,2.049
2011 Nissan Quest 3.5SL,Nissan Quest,2017-11-08,64000,274,14.4,2.099
2011 Nissan Quest 3.5SL,Nissan Quest,2017-12-03,64355,355,17.69,2.099
2011 Nissan Quest 3.5SL,Nissan Quest,2017-12-27,64644,289,14.45,2.199
2011 Nissan Quest 3.5SL,Nissan Quest,2018-01-12,64946,302,15.83,2.139
2011 Nissan Quest 3.5SL,Nissan Quest,2018-02-10,65283,337,17.48,2.229
2011 Nissan Quest 3.5SL,Nissan Quest,2018-02-25,65574,291,14.91,2.099
2011 Nissan Quest 3.5SL,Nissan Quest,2018-03-11,65857,283,13.99,2.099
2011 Nissan Quest 3.5SL,Nissan Quest,2018-03-24,66169,312,15.63,2.389
2011 Nissan Quest 3.5SL,Nissan Quest,2018-04-03,66453,284,14.32,2.379
2011 Nissan Quest 3.5SL,Nissan Quest,2018-04-18,66779,326,16.55,2.399
2011 Nissan Quest 3.5SL,Nissan Quest,2018-05-06,67074,295,15.32,2.43
2011 Nissan Quest 3.5SL,Nissan Quest,2018-05-19,67344,270,14.34,2.47
2011 Nissan Quest 3.5SL,Nissan Quest,2018-05-26,67632,288,14.23,2.59
2011 Nissan Quest 3.5SL,Nissan Quest,2018-05-31,67960,328,15.52,2.48
2011 Nissan Quest 3.5SL,Nissan Quest,2018-06-04,68308,348,15.89,2.45
2011 Nissan Quest 3.5SL,Nissan Quest,2018-06-07,68581,273,13.79,2.47
2011 Nissan Quest 3.5SL,Nissan Quest,2018-06-09,68933,352,15.42,2.7
2011 Nissan Quest 3.5SL,Nissan Quest,2018-06-16,69229,296,13.57,2.7
2011 Nissan Quest 3.5SL,Nissan Quest,2018-06-17,69470,241,11.38,2.4
2011 Nissan Quest 3.5SL,Nissan Quest,2018-07-01,69773,303,15.74,2.46
2011 Nissan Quest 3.5SL,Nissan Quest,2018-07-15,70064,291,15.69,2.54
2011 Nissan Quest 3.5SL,Nissan Quest,2018-07-29,70318,254,12.77,2.47
2011 Nissan Quest 3.5SL,Nissan Quest,2018-08-16,70668,350,16.79,2.489
2011 Nissan Quest 3.5SL,Nissan Quest,2018-09-01,70962,294,15.01,2.499
2011 Nissan Quest 3.5SL,Nissan Quest,2018-09-11,71164,202,10.45,2.599
2011 Nissan Quest 3.5SL,Nissan Quest,2018-09-23,71420,256,12.773,2.469
2011 Nissan Quest 3.5SL,Nissan Quest,2018-10-13,71746,326,17.891,2.449
2011 Nissan Quest 3.5SL,Nissan Quest,2018-10-27,72020,274,13.466,2.439
2011 Nissan Quest 3.5SL,Nissan Quest,2018-11-11,72294,274,13.118,2.169
2011 Nissan Quest 3.5SL,Nissan Quest,2018-12-02,72555,261,14.116,1.929
2011 Nissan Quest 3.5SL,Nissan Quest,2018-12-23,72860,305,15.466,1.759
2011 Nissan Quest 3.5SL,Nissan Quest,2019-01-18,73187,327,16.95,1.859
2011 Nissan Quest 3.5SL,Nissan Quest,2019-02-03,73476,289,15.196,1.929
2011 Nissan Quest 3.5SL,Nissan Quest,2019-02-16,73755,279,14.151,1.979
2011 Nissan Quest 3.5SL,Nissan Quest,2019-03-03,74025,270,12.87,2.019
2011 Nissan Quest 3.5SL,Nissan Quest,2019-03-17,74283,258,13.177,2.239
2011 Nissan Quest 3.5SL,Nissan Quest,2019-03-31,74525,242,12.897,2.289
2011 Nissan Quest 3.5SL,Nissan Quest,2019-04-14,74757,232,11.61,2.395
2011 Nissan Quest 3.5SL,Nissan Quest,2019-05-04,75073,316,16.318,2.459
2011 Nissan Quest 3.5SL,Nissan Quest,2019-05-19,75353,280,14.441,2.329
2011 Nissan Quest 3.5SL,Nissan Quest,2019-05-25,75600,247,12.862,2.429
2011 Nissan Quest 3.5SL,Nissan Quest,2019-05-27,75844,244,12.101,2.399
2011 Nissan Quest 3.5SL,Nissan Quest,2019-06-01,76188,344,17.158,2.359
2011 Nissan Quest 3.5SL,Nissan Quest,2019-06-08,76421,233,12.499,2.319
2011 Nissan Quest 3.5SL,Nissan Quest,2019-06-13,76761,340,16.391,2.399
2011 Nissan Quest 3.5SL,Nissan Quest,2019-06-16,77128,367,17.222,2.169
2011 Nissan Quest 3.5SL,Nissan Quest,2019-07-05,77430,302,16.329,2.269
2011 Nissan Quest 3.5SL,Nissan Quest,2019-07-29,77689,259,13.54,2.259
2011 Nissan Quest 3.5SL,Nissan Quest,2019-08-11,77996,307,15.595,2.289
2011 Nissan Quest 3.5SL,Nissan Quest,2019-08-25,78251,255,13.767,2.179
2011 Nissan Quest 3.5SL,Nissan Quest,2019-09-05,78583,332,18.245,2.259
2011 Nissan Quest 3.5SL,Nissan Quest,2019-09-11,78896,313,15.965,2.239
2011 Nissan Quest 3.5SL,Nissan Quest,2019-09-21,79145,249,12.623,2.329
2011 Nissan Quest 3.5SL,Nissan Quest,2019-09-29,79369,224,12.131,2.159
2011 Nissan Quest 3.5SL,Nissan Quest,2019-10-12,79705,336,17.481,2.059
2011 Nissan Quest 3.5SL,Nissan Quest,2019-10-20,79897,192,10.158,2.299
2011 Nissan Quest 3.5SL,Nissan Quest,2019-11-02,80202,305,15.867,2.069
2011 Nissan Quest 3.5SL,Nissan Quest,2019-11-16,80551,349,17.533,2.179
2011 Nissan Quest 3.5SL,Nissan Quest,2019-12-01,80820,269,13.637,2.259
2011 Nissan Quest 3.5SL,Nissan Quest,2019-12-13,81156,336,17.545,2.259
2011 Nissan Quest 3.5SL,Nissan Quest,2019-12-27,81383,227,12.936,2.229
2011 Nissan Quest 3.5SL,Nissan Quest,2020-01-18,81738,355,17.732,2.259
2011 Nissan Quest 3.5SL,Nissan Quest,2020-02-01,82050,312,16.453,2.119
2011 Nissan Quest 3.5SL,Nissan Quest,2020-02-16,82367,317,16.151,1.999
2011 Nissan Quest 3.5SL,Nissan Quest,2020-02-26,82643,276,14.679,2.199
2011 Nissan Quest 3.5SL,Nissan Quest,2020-03-08,82944,301,14.945,1.939
2011 Nissan Quest 3.5SL,Nissan Quest,2020-03-28,83188,244,11.883,1.799
2011 Nissan Quest 3.5SL,Nissan Quest,2020-05-09,83440,252,14.188,1.249
2011 Nissan Quest 3.5SL,Nissan Quest,2020-06-06,83759,319,15.9,1.599
2011 Nissan Quest 3.5SL,Nissan Quest,2020-06-27,84003,244,14.194,1.649
2011 Nissan Quest 3.5SL,Nissan Quest,2020-07-26,84269,266,14.7,1.709
2011 Nissan Quest 3.5SL,Nissan Quest,2020-08-16,84488,219,12.857,1.899
2011 Nissan Quest 3.5SL,Nissan Quest,2020-08-31,84764,276,14.694,1.999
2011 Nissan Quest 3.5SL,Nissan Quest,2020-09-07,84959,195,9.999,1.899
2011 Nissan Quest 3.5SL,Nissan Quest,2020-09-13,85274,315,15.061,1.869
2011 Nissan Quest 3.5SL,Nissan Quest,2020-09-20,85542,268,13.107,1.899
2011 Nissan Quest 3.5SL,Nissan Quest,2020-10-04,85851,309,16.133,1.999
2011 Nissan Quest 3.5SL,Nissan Quest,2020-10-16,86169,318,16.182,1.999
2011 Nissan Quest 3.5SL,Nissan Quest,2020-10-31,86441,272,13.538,1.899
2011 Nissan Quest 3.5SL,Nissan Quest,2020-11-15,86746,305,16.154,1.569
2011 Nissan Quest 3.5SL,Nissan Quest,2020-11-25,86977,231,11.257,1.599
2011 Nissan Quest 3.5SL,Nissan Quest,2020-12-11,87290,313,16.294,1.899
2011 Nissan Quest 3.5SL,Nissan Quest,2020-12-29,87559,269,14.99,1.839
2011 Nissan Quest 3.5SL,Nissan Quest,2021-01-17,87874,315,15.84,2.199
2011 Nissan Quest 3.5SL,Nissan Quest,2021-01-30,88212,338,16.985,1.999
2011 Nissan Quest 3.5SL,Nissan Quest,2021-02-06,88414,202,10.346,2.219
2011 Nissan Quest 3.5SL,Nissan Quest,2021-02-20,88685,270,16.453,2.269
2011 Nissan Quest 3.5SL,Nissan Quest,2021-02-27,88982,297,12.669,2.299
2011 Nissan Quest 3.5SL,Nissan Quest,2021-03-10,89282,300,15.915,2.479
2011 Nissan Quest 3.5SL,Nissan Quest,2021-03-12,89599,317,16.318,2.539
2011 Nissan Quest 3.5SL,Nissan Quest,2021-04-03,89912,313,16.664,2.479
2011 Nissan Quest 3.5SL,Nissan Quest,2021-04-16,90227,315,16.816,2.499
2011 Nissan Quest 3.5SL,Nissan Quest,2021-04-29,90548,321,16.843,2.519
2011 Nissan Quest 3.5SL,Nissan Quest,2021-05-11,90836,288,15.257,2.499
2011 Nissan Quest 3.5SL,Nissan Quest,2021-05-15,90981,145,7.229,2.499
2011 Nissan Quest 3.5SL,Nissan Quest,2021-05-23,91281,300,14.821,2.489
2011 Nissan Quest 3.5SL,Nissan Quest,2021-05-30,91484,203,10.826,2.539
2011 Nissan Quest 3.5SL,Nissan Quest,2021-06-26,91843,359,18.876,2.799
2011 Nissan Quest 3.5SL,Nissan Quest,2021-07-03,91993,150,8.167,2.509
2011 Nissan Quest 3.5SL,Nissan Quest,2021-07-24,92295,302,15.861,2.669
2011 Nissan Quest 3.5SL,Nissan Quest,2021-08-14,92534,239,13.971,2.669
2011 Nissan Quest 3.5SL,Nissan Quest,2021-08-28,92796,262,14.928,2.599
2011 Nissan Quest 3.5SL,Nissan Quest,2021-09-05,93032,236,12.866,2.599
2011 Nissan Quest 3.5SL,Nissan Quest,2021-09-17,93354,322,17.255,2.699
2011 Nissan Quest 3.5SL,Nissan Quest,2021-10-01,93638,284,14.901,2.899
2011 Nissan Quest 3.5SL,Nissan Quest,2021-10-15,93962,324,16.899,3.099
2011 Nissan Quest 3.5SL,Nissan Quest,2021-10-23,94191,229,13.015,2.969
2011 Nissan Quest 3.5SL,Nissan Quest,2021-11-05,94488,297,15.296,2.969
2011 Nissan Quest 3.5SL,Nissan Quest,2021-11-14,94749,261,13.813,2.929
2011 Nissan Quest 3.5SL,Nissan Quest,2021-11-20,95057,308,15.495,3.159
2011 Nissan Quest 3.5SL,Nissan Quest,2021-11-26,95380,323,15.29,2.859
2011 Nissan Quest 3.5SL,Nissan Quest,2021-12-04,95688,308,17.221,2.829
2011 Nissan Quest 3.5SL,Nissan Quest,2021-12-12,95944,256,13.301,2.779
2011 Nissan Quest 3.5SL,Nissan Quest,2021-12-28,96231,287,15.474,2.769
2011 Nissan Quest 3.5SL,Nissan Quest,2021-12-29,96589,358,14.884,3.259
2011 Nissan Quest 3.5SL,Nissan Quest,2022-01-02,96906,317,16.327,3.129
